forecast_date,state,electoral_vote,party,win,p_10,proj_vote,p_90,tipping_point,poll_avg,fund_avg,ss_avg,experts_avg,poll_weight,fund_weight,ss_weight,experts_weight
01/01/20,Texas,38,gop,81.440,44.772,53.118,61.463,0.896,49.835,53.310,53.481,54.034,17.224987090527993,75,15,40
01/01/20,Texas,38,dem,18.560,36.306,44.652,52.997,0.896,47.425,44.950,43.779,43.226,17.224987090527993,75,15,40
01/01/20,Texas,38,third,0.000,0.803,2.231,3.658,0.896,2.740,1.740,2.740,2.740,17.224987090527993,75,15,40
01/01/20,Utah,6,gop,99.666,51.264,60.016,68.769,0.000,47.168,59.972,60.975,59.875,0.4190742437585286,75,15,40
01/01/20,Utah,6,dem,0.334,23.819,32.572,41.325,0.000,44.846,33.041,31.038,32.139,0.4190742437585286,75,15,40
01/01/20,Utah,6,third,0.000,2.668,7.412,12.155,0.000,7.987,6.987,7.987,7.987,0.4190742437585286,75,15,40
01/01/20,Vermont,3,gop,0.078,20.204,29.295,38.386,0.002,0.000,28.590,28.709,30.838,0,75,15,40
01/01/20,Vermont,3,dem,99.922,55.099,64.190,73.281,0.002,0.000,65.319,64.199,62.070,0,75,15,40
01/01/20,Vermont,3,third,0.000,2.345,6.515,10.684,0.002,0.000,6.092,7.092,7.092,0,75,15,40
01/01/20,Virginia,13,gop,17.176,36.287,44.179,52.071,4.316,45.118,44.773,45.350,42.299,13.953822062069912,75,15,40
01/01/20,Virginia,13,dem,82.824,45.005,52.897,60.789,4.316,51.437,52.782,51.205,54.255,13.953822062069912,75,15,40
01/01/20,Virginia,13,third,0.000,1.053,2.924,4.796,4.316,3.445,2.445,3.445,3.445,13.953822062069912,75,15,40
01/01/20,Washington,12,gop,2.450,29.174,37.538,45.902,0.036,35.528,37.931,36.887,37.254,4.1755080418754265,75,15,40
01/01/20,Washington,12,dem,97.550,48.629,56.993,65.357,0.036,58.443,57.040,57.084,56.718,4.1755080418754265,75,15,40
01/01/20,Washington,12,third,0.000,1.969,5.470,8.970,0.036,6.029,5.029,6.029,6.029,4.1755080418754265,75,15,40
01/01/20,West Virginia,5,gop,99.946,56.796,65.444,74.093,0.000,0.000,64.745,64.221,67.214,0,75,15,40
01/01/20,West Virginia,5,dem,0.054,23.424,32.072,40.721,0.000,0.000,33.194,32.719,29.726,0,75,15,40
01/01/20,West Virginia,5,third,0.000,0.894,2.483,4.073,0.000,0.000,2.060,3.060,3.060,0,75,15,40
01/01/20,Wisconsin,10,gop,43.752,38.910,47.288,55.667,7.182,46.421,47.482,46.878,47.784,32.53066366893317,75,15,40
01/01/20,Wisconsin,10,dem,56.248,40.648,49.026,57.404,7.182,49.431,49.371,48.975,48.068,32.53066366893317,75,15,40
01/01/20,Wisconsin,10,third,0.000,1.327,3.686,6.045,7.182,4.147,3.147,4.147,4.147,32.53066366893317,75,15,40
01/01/20,Wyoming,3,gop,100.000,60.346,69.216,78.086,0.000,0.000,68.845,68.132,70.317,0,75,15,40
01/01/20,Wyoming,3,dem,0.000,16.221,25.091,33.961,0.000,0.000,25.884,25.598,23.413,0,75,15,40
01/01/20,Wyoming,3,third,0.000,2.050,5.693,9.337,0.000,0.000,5.270,6.270,6.270,0,75,15,40
01/01/20,District of Columbia,3,gop,0.000,-0.757,6.565,13.886,0.000,0.000,5.072,5.510,9.759,0,75,15,40
01/01/20,District of Columbia,3,dem,100.000,81.963,89.285,96.607,0.000,0.000,91.201,89.762,85.513,0,75,15,40
01/01/20,District of Columbia,3,third,0.000,1.494,4.150,6.806,0.000,0.000,3.727,4.727,4.727,0,75,15,40
01/01/20,Maine-1,1,gop,2.902,28.556,37.702,46.849,0.004,0.000,36.916,36.693,39.555,0,75,15,40
01/01/20,Maine-1,1,dem,97.098,48.839,57.985,67.132,0.004,0.000,59.195,58.418,55.555,0,75,15,40
01/01/20,Maine-1,1,third,0.000,1.552,4.312,7.072,0.004,0.000,3.889,4.889,4.889,0,75,15,40
01/01/20,Maine-2,1,gop,57.938,39.337,48.484,57.630,0.560,0.000,48.276,47.332,49.305,0,75,15,40
01/01/20,Maine-2,1,dem,42.062,37.277,46.424,55.570,0.560,0.000,47.055,46.998,45.025,0,75,15,40
01/01/20,Maine-2,1,third,0.000,1.833,5.093,8.352,0.560,0.000,4.670,5.670,5.670,0,75,15,40
01/01/20,Nebraska-1,1,gop,97.848,49.193,57.676,66.159,0.000,0.000,57.923,56.886,57.508,0,75,15,40
01/01/20,Nebraska-1,1,dem,2.152,29.594,38.077,46.560,0.000,0.000,38.252,38.290,37.668,0,75,15,40
01/01/20,Nebraska-1,1,third,0.000,1.529,4.247,6.966,0.000,0.000,3.824,4.824,4.824,0,75,15,40
01/01/20,Nebraska-2,1,gop,57.534,40.488,48.971,57.454,0.626,0.000,49.161,48.782,48.686,0,75,15,40
01/01/20,Nebraska-2,1,dem,42.466,38.774,47.257,55.740,0.626,0.000,47.490,46.869,46.966,0,75,15,40
01/01/20,Nebraska-2,1,third,0.000,1.358,3.772,6.185,0.626,0.000,3.348,4.348,4.348,0,75,15,40
01/01/20,Nebraska-3,1,gop,100.000,64.420,72.903,81.386,0.000,0.000,74.132,73.095,70.527,0,75,15,40
01/01/20,Nebraska-3,1,dem,0.000,14.835,23.317,31.800,0.000,0.000,22.511,22.549,25.117,0,75,15,40
01/01/20,Nebraska-3,1,third,0.000,1.361,3.779,6.198,0.000,0.000,3.356,4.356,4.356,0,75,15,40
01/01/20,US,237.914,gop,40.350,,45.998,,,,,,,,,,
01/01/20,US,300.086,dem,59.650,,50.568,,,,,,,,,,
01/01/20,US,0,third,0.000,,3.434,,,,,,,,,,
01/02/20,Alabama,9,gop,99.786,53.926,61.725,69.524,0.000,0.000,61.021,61.268,63.216,0,75,15,40
01/02/20,Alabama,9,dem,0.214,27.841,35.639,43.438,0.000,0.000,36.555,35.808,33.860,0,75,15,40
01/02/20,Alabama,9,third,0.000,0.949,2.636,4.322,0.000,0.000,2.424,2.924,2.924,0,75,15,40
01/02/20,Alaska,3,gop,90.728,42.190,51.467,60.743,0.022,46.079,50.384,50.865,53.797,0.5526201449240341,75,15,40
01/02/20,Alaska,3,dem,9.272,28.374,37.651,46.928,0.022,42.752,38.947,37.965,35.033,0.5526201449240341,75,15,40
01/02/20,Alaska,3,third,0.000,3.918,10.882,17.847,0.022,11.169,10.669,11.169,11.169,0.5526201449240341,75,15,40
01/02/20,Arizona,11,gop,53.876,40.012,48.300,56.588,6.534,46.434,48.916,47.976,48.606,28.69132196647232,75,15,40
01/02/20,Arizona,11,dem,46.124,39.183,47.471,55.759,6.534,49.101,47.119,47.559,46.930,28.69132196647232,75,15,40
01/02/20,Arizona,11,third,0.000,1.522,4.229,6.935,6.534,4.465,3.965,4.465,4.465,28.69132196647232,75,15,40
01/02/20,Arkansas,6,gop,99.806,53.542,61.946,70.351,0.002,0.000,61.118,61.512,63.662,0,75,15,40
01/02/20,Arkansas,6,dem,0.194,25.618,34.022,42.427,0.002,0.000,35.062,34.168,32.018,0,75,15,40
01/02/20,Arkansas,6,third,0.000,1.451,4.032,6.612,0.002,0.000,3.820,4.320,4.320,0,75,15,40
01/02/20,California,55,gop,0.062,25.155,32.796,40.437,0.000,35.066,31.551,30.768,34.058,32.27000653529958,75,15,40
01/02/20,California,55,dem,99.938,54.590,62.231,69.872,0.000,59.730,63.745,64.028,60.738,32.27000653529958,75,15,40
01/02/20,California,55,third,0.000,1.790,4.973,8.156,0.000,5.204,4.704,5.204,5.204,32.27000653529958,75,15,40
01/02/20,Colorado,9,gop,15.702,33.398,42.119,50.839,2.396,42.648,43.050,42.523,40.162,4.5639783391215385,75,15,40
01/02/20,Colorado,9,dem,84.298,43.662,52.383,61.103,2.396,51.575,51.673,51.700,54.062,4.5639783391215385,75,15,40
01/02/20,Colorado,9,third,0.000,1.979,5.498,9.017,2.396,5.777,5.277,5.777,5.777,4.5639783391215385,75,15,40
01/02/20,Connecticut,7,gop,2.640,30.140,38.473,46.806,0.036,38.575,38.336,40.062,38.131,1.046393376298705,75,15,40
01/02/20,Connecticut,7,dem,97.360,49.215,57.548,65.881,0.036,57.160,57.899,55.673,57.603,1.046393376298705,75,15,40
01/02/20,Connecticut,7,third,0.000,1.432,3.979,6.526,0.036,4.265,3.765,4.265,4.265,1.046393376298705,75,15,40
01/02/20,Delaware,3,gop,2.054,30.799,38.818,46.837,0.012,0.000,38.427,39.910,39.143,0,75,15,40
01/02/20,Delaware,3,dem,97.946,50.209,58.228,66.247,0.012,0.000,58.830,56.848,57.615,0,75,15,40
01/02/20,Delaware,3,third,0.000,1.063,2.954,4.845,0.012,0.000,2.742,3.242,3.242,0,75,15,40
01/02/20,Florida,29,gop,47.074,40.248,48.436,56.624,21.724,47.326,48.478,48.072,49.264,27.85157118417296,75,15,40
01/02/20,Florida,29,dem,52.926,41.134,49.322,57.510,21.724,50.194,49.542,49.448,48.256,27.85157118417296,75,15,40
01/02/20,Florida,29,third,0.000,0.807,2.242,3.677,21.724,2.480,1.980,2.480,2.480,27.85157118417296,75,15,40
01/02/20,Georgia,16,gop,64.712,43.209,50.638,58.067,5.300,47.624,50.693,51.686,52.517,31.515403207717515,75,15,40
01/02/20,Georgia,16,dem,35.288,40.054,47.483,54.913,5.300,50.265,47.696,46.203,45.373,31.515403207717515,75,15,40
01/02/20,Georgia,16,third,0.000,0.676,1.879,3.081,5.300,2.111,1.611,2.111,2.111,31.515403207717515,75,15,40
01/02/20,Hawaii,4,gop,0.002,18.039,26.829,35.619,0.000,0.000,25.889,27.470,28.351,0,75,15,40
01/02/20,Hawaii,4,dem,99.998,59.711,68.501,77.291,0.000,0.000,69.653,67.572,66.691,0,75,15,40
01/02/20,Hawaii,4,third,0.000,1.681,4.670,7.658,0.000,0.000,4.458,4.958,4.958,0,75,15,40
01/02/20,Idaho,4,gop,99.924,54.302,63.367,72.433,0.000,0.000,62.681,62.978,64.800,0,75,15,40
01/02/20,Idaho,4,dem,0.076,21.492,30.557,39.622,0.000,0.000,31.455,30.658,28.836,0,75,15,40
01/02/20,Idaho,4,third,0.000,2.187,6.076,9.964,0.000,0.000,5.864,6.364,6.364,0,75,15,40
01/02/20,Illinois,20,gop,2.112,29.945,38.404,46.864,0.068,0.000,38.190,38.862,38.633,0,75,15,40
01/02/20,Illinois,20,dem,97.888,50.079,58.539,66.998,0.068,0.000,58.964,57.792,58.021,0,75,15,40
01/02/20,Illinois,20,third,0.000,1.101,3.057,5.014,0.068,0.000,2.846,3.346,3.346,0,75,15,40
01/02/20,Indiana,11,gop,94.936,47.968,56.317,64.666,0.026,0.000,55.639,54.802,58.157,0,75,15,40
01/02/20,Indiana,11,dem,5.064,32.333,40.682,49.032,0.026,0.000,41.572,41.909,38.553,0,75,15,40
01/02/20,Indiana,11,third,0.000,1.080,3.001,4.921,0.026,0.000,2.789,3.289,3.289,0,75,15,40
01/02/20,Iowa,6,gop,61.240,40.910,49.263,57.617,2.502,49.255,48.730,48.869,50.418,37.56831178560465,75,15,40
01/02/20,Iowa,6,dem,38.760,38.231,46.584,54.938,2.502,46.369,47.394,46.755,45.206,37.56831178560465,75,15,40
01/02/20,Iowa,6,third,0.000,1.495,4.152,6.810,2.502,4.376,3.876,4.376,4.376,37.56831178560465,75,15,40
