date,state,margin
10/07/20,Arizona,2.302391393
10/08/20,Arizona,2.301416134
10/09/20,Arizona,2.300512471
10/10/20,Arizona,2.299690372
10/11/20,Arizona,2.299238311
10/12/20,Arizona,2.299665421
10/13/20,Arizona,2.298697738
10/14/20,Arizona,2.298521523
10/15/20,Arizona,2.298510885
10/16/20,Arizona,2.297433169
10/17/20,Arizona,2.296179548
10/18/20,Arizona,2.29650361
10/19/20,Arizona,2.296127884
10/20/20,Arizona,2.295752837
10/21/20,Arizona,2.296497342
10/22/20,Arizona,2.2964012
10/23/20,Arizona,2.296814805
10/24/20,Arizona,2.295283103
10/25/20,Arizona,2.296385893
10/26/20,Arizona,2.29651138
10/27/20,Arizona,2.297112883
10/28/20,Arizona,2.298144052
10/29/20,Arizona,2.298477056
10/30/20,Arizona,2.298567667
10/31/20,Arizona,2.299240564
11/01/20,Arizona,2.299820996
11/02/20,Arizona,2.299411849
11/03/20,Arizona,2.29981482
11/04/20,Arizona,2.299955311
11/05/20,Arizona,2.300608461
11/06/20,Arizona,2.300780384
11/07/20,Arizona,2.300587698
11/08/20,Arizona,2.300453947
03/01/20,Arkansas,20.25036732
03/02/20,Arkansas,20.20270442
03/03/20,Arkansas,20.16528432
03/04/20,Arkansas,20.12806543
03/05/20,Arkansas,20.0964331
03/06/20,Arkansas,20.04346495
03/07/20,Arkansas,20.02055418
03/08/20,Arkansas,19.99522313
03/09/20,Arkansas,19.97164456
03/10/20,Arkansas,19.95994825
03/11/20,Arkansas,19.94959421
03/12/20,Arkansas,19.94218435
03/13/20,Arkansas,19.92217986
03/14/20,Arkansas,19.90915841
03/15/20,Arkansas,19.89003845
03/16/20,Arkansas,19.87634895
03/17/20,Arkansas,19.87060219
03/18/20,Arkansas,19.8622395
03/19/20,Arkansas,19.85407367
03/20/20,Arkansas,19.83541366
03/21/20,Arkansas,19.81350203
03/22/20,Arkansas,19.78465594
03/23/20,Arkansas,19.76805108
03/24/20,Arkansas,19.74449432
03/25/20,Arkansas,19.73532278
03/26/20,Arkansas,19.72962062
03/27/20,Arkansas,19.71946188
03/28/20,Arkansas,19.71229104
03/29/20,Arkansas,19.70016962
03/30/20,Arkansas,19.69393871
03/31/20,Arkansas,19.68804129
04/01/20,Arkansas,19.68455704
04/02/20,Arkansas,19.67827108
04/03/20,Arkansas,19.67698404
04/04/20,Arkansas,19.67108227
04/05/20,Arkansas,19.66831484
04/06/20,Arkansas,19.66211939
04/07/20,Arkansas,19.65624889
04/08/20,Arkansas,19.65029347
04/09/20,Arkansas,19.64568297
04/10/20,Arkansas,19.63805145
04/11/20,Arkansas,19.63260649
04/12/20,Arkansas,19.6308836
04/13/20,Arkansas,19.62937889
04/14/20,Arkansas,19.62668954
04/15/20,Arkansas,19.6242428
04/16/20,Arkansas,19.62022709
04/17/20,Arkansas,19.61760118
04/18/20,Arkansas,19.61476847
04/19/20,Arkansas,19.61209426
04/20/20,Arkansas,19.61489224
04/21/20,Arkansas,19.61260361
04/22/20,Arkansas,19.61266562
04/23/20,Arkansas,19.60829518
04/24/20,Arkansas,19.60057679
04/25/20,Arkansas,19.5999457
04/26/20,Arkansas,19.60188401
04/27/20,Arkansas,19.59953734
04/28/20,Arkansas,19.59922375
