today,state,primary_date,total_delegates,Bidenproj,Bloombergproj,Buttigiegproj,Klobucharproj,Sandersproj,Steyerproj,Warrenproj,Yangproj,voteperc,dateindex,bi,bl,bu,kl,sa,st,wa,ya,abbrev,radius,xValue,yValue
2020-01-31,New York,2020-04-28,274,18.260953161925634,24.707653847414697,10.295433091789821,6.216597229081697,27.321226511228318,1.8077760291772962,11.390360129382533,0.0,0.06815078462289104,43861New York,67,91,5,0,101,0,10,0,NY,29.49576240750525,548.0,81.0
2020-01-31,Pennsylvania,2020-04-28,186,20.772631181448727,18.783678103420158,13.496097996715498,6.537995150684944,28.983042526355145,1.4349245946665783,9.99163044670893,0.0,0.043773885500613646,43861Pennsylvania,52,47,13,0,72,0,2,0,PA,24.49489742783178,498.0,132.0
2020-01-31,Rhode Island,2020-04-28,26,15.650424715773422,17.918484027421634,13.174574152392996,4.41930788759755,30.27598938560685,3.3041359410370195,15.257083890170536,0.0,0.0037772845705901677,43861Rhode Island,5,5,2,0,9,0,5,0,RI,10.954451150103322,619.0,126.0
2020-01-31,Guam,2020-05-02,7,22.89657469702131,16.220571920621467,10.774570819225564,5.077546023733231,29.813553235600743,2.267497907849223,12.949685395948462,0.0,0.0,43861Guam,2,2,0,0,3,0,0,0,,,,
2020-01-31,Kansas,2020-05-02,39,15.293713231414413,14.6406625810495,14.932141298065746,7.451208524163157,33.84557513512948,1.1244464546923416,12.712252775485345,0.0,0.006387167203504028,43861Kansas,9,3,4,0,21,0,2,0,KS,13.416407864998739,266.0,248.0
2020-01-31,Indiana,2020-05-05,82,17.019600804895383,15.015486099644157,19.39280043312226,6.991742192961245,28.27114907098628,1.1317434344517665,12.177477963938905,0.0,0.015453562614693744,43861Indiana,17,15,19,0,28,0,4,0,IN,18.16590212458495,413.0,207.0
2020-01-31,Nebraska,2020-05-12,29,16.082486769793118,15.074631422748288,14.91226964638686,7.408961645630787,32.96487804655316,1.1221919244945775,12.434580544393214,0.0,0.004255478850115748,43861Nebraska,6,6,3,0,12,0,2,0,NE,12.24744871391589,258.0,209.0
2020-01-31,West Virginia,2020-05-12,28,27.294216390586655,20.480553749687047,9.651397100981681,5.896938549724382,30.24563352720862,2.2153672986894337,4.21589338312219,0.0,0.0028239923303435307,43861West Virginia,10,7,0,0,11,0,0,0,WV,12.24744871391589,451.0,242.0
2020-01-31,Kentucky,2020-05-19,54,22.60631112734307,19.997628359980872,8.836612891860995,5.442273676134408,29.894145270514095,2.251699940271746,10.971328733894834,0.0,0.009406437031398512,43861Kentucky,16,14,0,0,21,0,2,0,KY,15.491933384829668,411.0,251.0
2020-01-31,Oregon,2020-05-19,61,19.83206776565639,15.24939125670234,11.274060917025722,4.518289062572001,32.2714601345162,3.354809726550338,13.499921136977013,0.0,0.014989563535871026,43861Oregon,16,12,2,0,26,0,4,0,OR,14.491376746189438,124.0,176.0
2020-01-31,District of Columbia,2020-06-02,20,35.96460298504612,20.7047054578557,5.086366663285031,3.959382502905578,22.83355005569458,2.373703188823848,9.077689146389138,0.0,0.004230588635184703,43861District of Columbia,9,5,0,0,6,0,0,0,DC,9.486832980505138,536.0,193.0
2020-01-31,Montana,2020-06-02,19,18.66332262408419,16.73596128097854,12.003291321765081,4.936265342133984,31.049219084074807,3.406591338460981,13.205349008502404,0.0,0.002658182214652047,43861Montana,5,5,0,0,9,0,0,0,MT,9.486832980505138,206.0,131.0
2020-01-31,New Jersey,2020-06-02,126,17.145981099378137,22.49570788989628,12.227207204823832,4.4094520102102,30.480969635571903,2.2814944419750125,10.959187718144646,0.0,0.0321340752113189,43861New Jersey,29,38,6,0,51,0,3,0,NJ,20.493901531919196,551.0,147.0
2020-01-31,New Mexico,2020-06-02,34,16.989334597911142,16.0853681463123,10.765580396786733,4.704684156301681,36.7844086843367,3.0436420764720826,11.626981941879357,0.0,0.005762354001650263,43861New Mexico,8,7,1,0,17,0,1,0,NM,12.24744871391589,215.0,303.0
2020-01-31,South Dakota,2020-06-02,16,15.781884910553746,15.199140998265866,15.13313661160756,7.58360211514561,32.712073906018084,1.0926129768786974,12.49754848153043,0.0,0.0017569440296698541,43861South Dakota,3,3,3,0,6,0,1,0,SD,9.486832980505138,257.0,167.0
2020-01-31,Virgin Islands,2020-06-06,7,22.89657469702131,16.220571920621467,10.774570819225564,5.077546023733231,29.813553235600743,2.267497907849223,12.949685395948462,0.0,0.0,43861Virgin Islands,2,2,0,0,3,0,0,0,,,,
2020-01-31,US,2020-07-01,3979,20.27522054125896,18.639046883776384,11.74277057245291,6.630683431433742,28.788697292614312,2.374782233328799,11.485541885081984,0.0222925095791061,1.0,43861US,1032,943,204,41,1575,11,174,0,,,,
