state,cand,vote,delegates,radius,xValue,yValue,abbrev
Idaho,Sanders,39.9,11,7.090855351901601,188,173,ID
Illinois,Sanders,30.6,65,17.23689205639898,359,207,IL
Indiana,Sanders,29.2,28,11.313091488924615,413,207,IN
Iowa,Sanders,26.1,12,7.406156870279673,306,195,IA
Kansas,Sanders,34.6,21,9.797424624746235,266,248,KS
Kentucky,Sanders,32.2,23,10.253359898529963,411,251,KY
Louisiana,Sanders,22.4,15,8.280335106986222,326,335,LA
Maine,Sanders,32.5,10,6.760865303790066,628,26,ME
Maryland,Sanders,29.3,37,13.004784070763023,505,185,MD
Massachusetts,Sanders,27.4,34,12.466419647612298,607,89,MA
Michigan,Sanders,32.0,54,15.710831236518285,418,149,MI
Minnesota,Sanders,28.3,34,12.466419647612298,304,142,MN
Mississippi,Sanders,21.5,10,6.760865303790066,373,324,MS
Missouri,Sanders,20.3,19,9.319209695375754,329,251,MO
Montana,Sanders,31.9,9,6.413919994074849,206,131,MT
Nebraska,Sanders,33.7,13,7.708572471786852,258,209,NE
Nevada,Sanders,34.0,24,10.473887491012189,167,220,NV
New Hampshire,Sanders,25.9,9,6.413919994074849,612,54,NH
New Jersey,Sanders,31.2,52,15.417144943573703,551,147,NJ
New Mexico,Sanders,37.6,17,8.815089869943867,215,303,NM
New York,Sanders,28.0,103,21.69805950901419,548,81,NY
North Carolina,Sanders,27.4,41,13.689708857005273,499,278,NC
North Dakota,Sanders,35.3,8,6.047101762397742,257,136,ND
Ohio,Sanders,30.6,55,15.855634585470172,459,191,OH
Oklahoma,Sanders,28.9,15,8.280335106986222,270,294,OK
Oregon,Sanders,33.2,27,11.10923530541951,124,176,OR
Pennsylvania,Sanders,29.8,74,18.391542008606653,498,132,PA
Rhode Island,Sanders,31.1,11,7.090855351901601,619,126,RI
South Carolina,Sanders,27.1,19,9.319209695375754,487,322,SC
South Dakota,Sanders,33.5,7,5.656545744462307,257,167,SD
Tennessee,Sanders,24.3,21,9.797424624746235,379,284,TN
Texas,Sanders,28.5,87,19.94168766697376,271,355,TX
Utah,Sanders,37.9,17,8.815089869943867,204,218,UT
Vermont,Sanders,53.4,16,8.55189332543313,585,47,VT
Virginia,Sanders,29.1,39,13.351639174961631,508,229,VA
Washington,Sanders,33.6,47,14.657206704661158,154,131,WA
West Virginia,Sanders,35.8,13,7.708572471786852,451,242,WV
Wisconsin,Sanders,33.9,44,14.181710703803201,359,146,WI
Wyoming,Sanders,33.4,8,6.047101762397742,214,177,WY
