rank,state,state_comp,value,comp_pvi
1,Virginia,North Carolina,84.9,5.614413959
2,Virginia,New Jersey,79.5,-13.20123044
3,Virginia,Delaware,78,-14.74814097
4,Virginia,Pennsylvania,76,1.22511585
5,Virginia,New York,73.5,-22.52786675
6,Virginia,Illinois,72.8,-15.12454711
7,Virginia,Connecticut,71.9,-13.91177299
8,Virginia,South Carolina,71.8,16.71872913
9,Virginia,Georgia,71,8.653037898
10,Virginia,Maryland,69.8,-25.36538251
1,Washington,Oregon,82.8,-10.63313409
2,Washington,Nevada,65,0.008642973
3,Washington,Illinois,64.4,-15.12454711
4,Washington,Utah,60.7,32.06372464
5,Washington,Connecticut,60.2,-13.91177299
6,Washington,Minnesota,59.6,-1.821522496
7,Washington,Montana,58.6,19.04432764
8,Washington,Colorado,58.4,-2.973127033
9,Washington,Arizona,58.3,7.449078603
10,Washington,Rhode Island,58.2,-18.88398581
1,West Virginia,Kentucky,74.3,30.52236505
2,West Virginia,Tennessee,60,27.95210789
3,West Virginia,Indiana,59.6,19.72467972
4,West Virginia,Arkansas,58.8,31.71173634
5,West Virginia,Ohio,57.6,9.673126597
6,West Virginia,Oklahoma,53.1,37.50759662
7,West Virginia,Alabama,52.8,30.12071404
8,West Virginia,Missouri,51.4,19.83970086
9,West Virginia,Pennsylvania,51.3,1.22511585
10,West Virginia,Idaho,47.8,36.87980388
1,Wisconsin,Iowa,85.9,6.986805164
2,Wisconsin,Michigan,83.9,0.420226814
3,Wisconsin,Minnesota,79.4,-1.821522496
4,Wisconsin,Pennsylvania,79.3,1.22511585
5,Wisconsin,Ohio,76.5,9.673126597
6,Wisconsin,Kansas,73.7,21.9404712
7,Wisconsin,Missouri,73.7,19.83970086
8,Wisconsin,Nebraska,73.3,29.50929736
9,Wisconsin,Indiana,72.2,19.72467972
10,Wisconsin,South Dakota,71.6,31.44709825
1,Wyoming,Idaho,83.1,36.87980388
2,Wyoming,Montana,72.9,19.04432764
3,Wyoming,South Dakota,71.9,31.44709825
4,Wyoming,North Dakota,69.3,35.66519749
5,Wyoming,Nebraska,68.8,29.50929736
6,Wyoming,Utah,67.3,32.06372464
7,Wyoming,Iowa,64.8,6.986805164
8,Wyoming,Kansas,62.6,21.9404712
9,Wyoming,Oklahoma,60.3,37.50759662
10,Wyoming,Missouri,58.7,19.83970086
1,District of Columbia,Maryland,57,-25.36538251
2,District of Columbia,Virginia,50,-2.880027279
3,District of Columbia,Delaware,47.7,-14.74814097
4,District of Columbia,New Jersey,47.2,-13.20123044
5,District of Columbia,New York,47,-22.52786675
6,District of Columbia,North Carolina,46.1,5.614413959
7,District of Columbia,Connecticut,44.9,-13.91177299
8,District of Columbia,Georgia,44.1,8.653037898
9,District of Columbia,South Carolina,44,16.71872913
10,District of Columbia,Pennsylvania,43.3,1.22511585
1,Maine-2,Indiana,85.2,19.72467972
2,Maine-2,Michigan,82.8,0.420226814
3,Maine-2,Missouri,82.6,19.83970086
4,Maine-2,Pennsylvania,81.4,1.22511585
5,Maine-2,Tennessee,78.9,27.95210789
6,Maine-2,Wisconsin,76.5,3.241616102
7,Maine-2,Iowa,75.8,6.986805164
8,Maine-2,North Carolina,71.9,5.614413959
9,Maine-2,Kentucky,70.3,30.52236505
10,Maine-2,Arkansas,70.3,31.71173634
1,Maine-1,New Hampshire,85,-0.561806883
2,Maine-1,Vermont,84.2,-31.59664992
3,Maine-1,Maine,82.7,-5.002556374
4,Maine-1,Pennsylvania,76.5,1.22511585
5,Maine-1,Rhode Island,72.5,-18.88398581
6,Maine-1,Wisconsin,69.9,3.241616102
7,Maine-1,Massachusetts,68.4,-26.97403839
8,Maine-1,Connecticut,68.2,-13.91177299
9,Maine-1,Michigan,68.1,0.420226814
10,Maine-1,Ohio,65.5,9.673126597
1,Nebraska-1,Nebraska,90,29.50929736
2,Nebraska-1,Kansas,87.6,21.9404712
3,Nebraska-1,South Dakota,86.8,31.44709825
4,Nebraska-1,North Dakota,86.5,35.66519749
5,Nebraska-1,Utah,78.8,32.06372464
6,Nebraska-1,Montana,74.4,19.04432764
7,Nebraska-1,Iowa,73.4,6.986805164
8,Nebraska-1,Wisconsin,73.3,3.241616102
9,Nebraska-1,Oklahoma,73.1,37.50759662
10,Nebraska-1,Missouri,72.1,19.83970086
1,Nebraska-3,Nebraska,90,29.50929736
2,Nebraska-3,Kansas,87.6,21.9404712
3,Nebraska-3,South Dakota,86.8,31.44709825
4,Nebraska-3,North Dakota,86.5,35.66519749
5,Nebraska-3,Utah,78.8,32.06372464
6,Nebraska-3,Montana,74.4,19.04432764
7,Nebraska-3,Iowa,73.4,6.986805164
8,Nebraska-3,Wisconsin,73.3,3.241616102
9,Nebraska-3,Oklahoma,73.1,37.50759662
10,Nebraska-3,Missouri,72.1,19.83970086
1,Nebraska-2,Wisconsin,85.9,3.241616102
2,Nebraska-2,Missouri,78.5,19.83970086
3,Nebraska-2,Indiana,76.2,19.72467972
4,Nebraska-2,Ohio,75.8,9.673126597
5,Nebraska-2,Kansas,74.6,21.9404712
6,Nebraska-2,Nebraska,73.4,29.50929736
7,Nebraska-2,Minnesota,73.4,-1.821522496
8,Nebraska-2,South Dakota,72.8,31.44709825
9,Nebraska-2,Montana,72.7,19.04432764
10,Nebraska-2,Michigan,72,0.420226814
