DATE,RPI,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.6499300292475749,ag2
2003-11-01,11690.647,2003-12-01,11628.629666666668,11590.011166666669,11534.91288888889,11494.074916666666,11463.3344,11442.10777777778,11425.158666666668,11411.983208333333,11498.776586458334,0.9621206840596438,11565.037,11498.265,11342.881,11365.197,11317.208,11345.334,11319.255,11293.592,0.005498699802401585,0.007979131344308943,0.016929727896192404,0.011339699317721053,0.01291187720504916,0.008529830657940884,0.009356063333379128,0.010483042802797549,0.010378509044973838,0.13314111153394992,2003-12-01,0.20850289085446755,,
2003-10-01,11620.297,2003-11-01,11586.759666666665,11557.9475,11496.272222222222,11466.954083333332,11438.438466666666,11422.923722222222,11407.473333333333,11395.439250000001,11471.526030555553,0.9620988879577419,11549.941,11411.466,11374.851,11338.134,11325.366,11320.618,11325.709,11278.262,0.00318777963165906,0.01283634372656417,0.010674532987045016,0.011361665273433186,0.009984001105718399,0.009037114601183616,0.007219356716063663,0.010389654895408551,0.009336306117134457,0.10874486657688341,2003-11-01,0.18632250488423419,,
2003-09-01,11574.945,2003-10-01,11563.307666666668,11523.142333333335,11469.000444444444,11443.440499999999,11418.7764,11406.27488888889,11393.445333333333,11381.187791666669,11449.821919791668,0.9623549679554615,11539.2,11364.418,11396.951,11317.786,11365.35,11304.44,11314.301,11282.01,0.002089197402477261,0.013966780642293841,0.006321817514565398,0.01110239228767873,0.00470081431720093,0.009008397487083819,0.006995070515918966,0.008790790973121743,0.007871907642542586,0.08052135979540836,2003-10-01,0.16068805144632228,,
2003-08-01,11565.037,2003-09-01,11551.392666666667,11488.0545,11449.223333333333,11422.010583333335,11404.803400000003,11391.246833333335,11381.033714285717,11368.982166666668,11432.093399702382,0.9628142296719391,11498.265,11342.881,11365.197,11317.208,11345.334,11319.255,11293.592,11263.875,0.004620494193399383,0.012798644365571654,0.007393301966814425,0.009260462769026923,0.0052417496038461575,0.00636012116816298,0.007742595472345348,0.009331350593527299,0.007843590016586771,0.07992293782287814,2003-09-01,0.16018578253642912,,
2003-07-01,11549.941,2003-08-01,11529.135333333334,11451.0285,11427.018888888888,11401.358166666667,11390.156533333335,11377.59227777778,11368.107761904763,11356.433750000002,11412.603901488093,0.9631931731306267,11411.466,11374.851,11338.134,11325.366,11320.618,11325.709,11278.262,11273.766,0.010311500146723773,0.00669701080040519,0.00783946360916965,0.006709908241964602,0.006142644627116223,0.004581018087060018,0.00796627724242982,0.007332753757706367,0.007197572064071955,0.06917554217178216,2003-08-01,0.15044987225894985,,
2003-06-01,11539.2,2003-07-01,11482.976999999999,11421.846833333331,11403.484777777778,11382.643583333333,11374.868333333334,11365.134944444444,11355.170666666667,11344.926458333333,11391.381574652776,0.9634921773355314,11364.418,11396.951,11317.786,11365.35,11304.44,11314.301,11282.01,11274.818,0.010432474412680026,0.002184429268260679,0.007572044371379594,0.0015216058751672534,0.006230147918281137,0.004492893060246805,0.00648471918272242,0.006218145457721258,0.005642057443307397,0.04808423076134052,2003-07-01,0.13130313499535787,,
2003-05-01,11498.265,2003-06-01,11424.716333333332,11398.138666666666,11378.88322222222,11368.156083333333,11359.217666666666,11352.640555555556,11342.923523809524,11333.910541666666,11369.823324156747,0.9637800044220584,11342.881,11365.197,11317.208,11345.334,11319.255,11293.592,11263.875,11290.341,0.007214686756683131,0.0028984686025825823,0.005449685313040131,0.0020115832053364535,0.0035305032589747487,0.0052285008662926735,0.007017880064322801,0.0038590102519193703,0.0046512897898939864,0.037299995768664454,2003-06-01,0.12152545110079117,,
2003-04-01,11411.466,2003-05-01,11372.921666666667,11375.960666666666,11358.765777777779,11355.411833333334,11347.283666666666,11341.269833333334,11331.762095238097,11325.247041666667,11351.07782266865,0.9642095988598679,11374.851,11338.134,11325.366,11320.618,11325.709,11278.262,11273.766,11322.69,-0.00016961394336800772,0.003336233869406291,0.002949112441732904,0.0030734923953208426,0.0019049285715062592,0.005586661609149779,0.005144340874034148,0.00022583340766790805,0.0027563736531812655,0.02222204336345569,2003-05-01,0.10785727568131134,,
2003-03-01,11364.418,2003-04-01,11360.716666666667,11363.738666666666,11349.19911111111,11347.841166666665,11341.566533333333,11333.869611111111,11325.204952380953,11321.548041666667,11342.960593700396,0.9651546891228162,11396.951,11317.786,11365.35,11304.44,11314.301,11282.01,11274.818,11349.539,-0.0031793006158692405,0.004060216959983709,-0.0014210639257824509,0.0038393026692755683,0.0024098292358787354,0.004596664168097009,0.004468981439962327,-0.002466263901409027,0.0015385457537670788,0.015203005646998707,2003-04-01,0.10156224959934575,,
2003-02-01,11342.881,2003-03-01,11371.561,11355.966666666665,11349.302666666665,11342.842999999999,11338.2254,11329.291388888889,11320.938285714286,11320.928083333332,11341.13206140873,0.9663925712442527,11365.197,11317.208,11345.334,11319.255,11293.592,11263.875,11290.341,11308.803,0.0005599550980066592,0.0034247551751867,0.0003498060671165426,0.002083882729031261,0.00395209956230036,0.005807627383017655,0.002710040884884357,0.0010721809667506577,0.002495043483286774,0.019227761159364896,2003-03-01,0.10533365298526377,,
