DATE,T10Y2YM,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.26797085473731763,ag2
2017-03-01,1.17,2017-04-01,1.2033333333333331,1.1633333333333333,1.0544444444444445,1.0358333333333334,1.0453333333333332,1.0972222222222223,1.1585714285714286,1.2079166666666665,1.1207485119047618,0.43323880515067603,1.29,0.86,0.91,1.01,1.26,1.46,1.67,1.4,-0.0671834625322999,0.3527131782945736,0.15873015873015883,0.025577557755775526,-0.1703703703703705,-0.24847792998477924,-0.3062446535500427,-0.13720238095238102,-0.04905723782617068,0.5990885807874962,2017-04-01,0.48852206369628276,,
2017-02-01,1.22,2017-03-01,1.2433333333333334,1.1116666666666666,1.0255555555555556,1.0225000000000002,1.0513333333333335,1.1133333333333335,1.1823809523809523,1.2174999999999998,1.1209503968253969,0.4344844281695673,1.16,0.82,0.99,1.05,1.38,1.47,1.59,1.36,0.07183908045977017,0.3556910569105691,0.03591470258136931,-0.026190476190476097,-0.23816425120772933,-0.24263038548752824,-0.2563641808924828,-0.10477941176470607,-0.05058548319890174,0.5988167380650306,2017-03-01,0.4892618648013884,,
2017-01-01,1.22,2017-02-01,1.2233333333333334,1.0450000000000002,1.0,1.0083333333333333,1.062,1.1272222222222221,1.2,1.2233333333333332,1.1111527777777779,0.43119497041908134,0.92,0.83,1.04,1.19,1.43,1.65,1.4,1.33,0.32971014492753614,0.2590361445783136,-0.03846153846153855,-0.15266106442577032,-0.25734265734265727,-0.3168350168350168,-0.1428571428571428,-0.08020050125313305,-0.04995145395867613,0.5987358288688607,2017-02-01,0.48704192323567447,,
2016-12-01,1.29,2017-01-01,1.1233333333333333,0.9800000000000001,0.98,1.0058333333333334,1.076,1.151111111111111,1.2085714285714286,1.2279166666666665,1.0940957341269844,0.4246344948258436,0.86,0.91,1.01,1.26,1.46,1.67,1.4,1.57,0.3062015503875968,0.0769230769230771,-0.02970297029702973,-0.20171957671957674,-0.2630136986301369,-0.31071190951430483,-0.13673469387755088,-0.21788747346072201,-0.0970807118985809,0.5924121403313644,2017-01-01,0.48056037666101714,,
2016-11-01,1.16,2016-12-01,0.98,0.9166666666666666,0.948888888888889,1.0033333333333334,1.0873333333333335,1.1722222222222223,1.2138095238095237,1.2395833333333333,1.0702296626984127,0.4150272640887446,0.82,0.99,1.05,1.38,1.47,1.59,1.36,1.8,0.19512195121951215,-0.07407407407407407,-0.09629629629629621,-0.2729468599033815,-0.26031746031746017,-0.2627533193570929,-0.10749299719887973,-0.31134259259259267,-0.14876270606503314,0.5856183548623561,2016-12-01,0.47189096101328176,,
2016-10-01,0.92,2016-11-01,0.8666666666666667,0.8883333333333333,0.9366666666666666,1.0216666666666665,1.1079999999999999,1.196111111111111,1.2233333333333332,1.2662499999999999,1.063378472222222,0.4129987949257897,0.83,1.04,1.19,1.43,1.65,1.4,1.33,1.85,0.04417670682730934,-0.14583333333333337,-0.21288515406162467,-0.2855477855477856,-0.3284848484848485,-0.14563492063492078,-0.08020050125313305,-0.3155405405405406,-0.18374379712860966,0.5808484033318508,2016-11-01,0.46894866439447674,,
2016-09-01,0.86,2016-10-01,0.8366666666666666,0.9083333333333333,0.9666666666666666,1.0641666666666667,1.1566666666666667,1.222777777777778,1.2428571428571429,1.3050000000000002,1.087891865079365,0.4249979676718669,0.91,1.01,1.26,1.46,1.67,1.4,1.57,1.96,-0.08058608058608074,-0.10066006600660071,-0.2328042328042329,-0.2711187214611872,-0.30738522954091807,-0.12658730158730136,-0.20837124658780715,-0.3341836734693877,-0.20771206900543948,0.5774427543862695,2016-10-01,0.47581289657666775,,
2016-08-01,0.82,2016-09-01,0.8533333333333334,0.9333333333333332,1.011111111111111,1.1141666666666667,1.210666666666667,1.2527777777777778,1.2766666666666668,1.3508333333333333,1.1253611111111113,0.44293989343187035,0.99,1.05,1.38,1.47,1.59,1.36,1.8,1.95,-0.13804713804713797,-0.11111111111111127,-0.26731078904991945,-0.24206349206349198,-0.23857442348008373,-0.0788398692810458,-0.29074074074074063,-0.3072649572649573,-0.209244065129811,0.5771345526871983,2016-09-01,0.48767144651697963,,
2016-07-01,0.83,2016-08-01,0.91,0.9716666666666667,1.0733333333333333,1.1683333333333334,1.2620000000000002,1.2827777777777778,1.3233333333333335,1.397916666666667,1.1736701388888888,0.4659373634199711,1.04,1.19,1.43,1.65,1.4,1.33,1.85,2.03,-0.125,-0.1834733893557422,-0.2494172494172494,-0.2919191919191918,-0.09857142857142831,-0.03550543024227237,-0.28468468468468466,-0.31137110016420344,-0.19749280929434654,0.5784772480295295,2016-08-01,0.5034506582898239,,
2016-06-01,0.91,2016-07-01,0.98,1.0316666666666665,1.1399999999999997,1.2366666666666666,1.2999999999999998,1.3105555555555553,1.3719047619047617,1.4479166666666667,1.2273387896825394,0.4915300909851216,1.01,1.26,1.46,1.67,1.4,1.57,1.96,2.15,-0.02970297029702973,-0.1812169312169314,-0.21917808219178103,-0.25948103792415167,-0.07142857142857151,-0.1652512384996464,-0.3000485908649174,-0.32655038759689914,-0.19410722625249105,0.5786876782298218,2016-07-01,0.5205826200666883,,
