DATE,UNRATE,Model date,3avg,6avg,9avg,12avg,15avg,18avg,21avg,24avg,avg,normalize,3avg.1,6avg.1,9avg.1,12avg.1,15avg.1,18avg.1,21avg.1,24avg.1,3avg.2,6avg.2,9avg.2,12avg.2,15avg.2,18avg.2,21avg.2,24avg.2,avg.1,normalize.1,date,index,0.7916089527029311,ag2
2016-10-01,4.9,2016-11-01,4.933333333333334,4.883333333333334,4.9111111111111105,4.933333333333333,4.953333333333332,5.022222222222221,5.080952380952381,5.158333333333332,4.984494047619047,0.7283044971993029,4.8,5.0,4.9,5.0,5.2,5.4,5.7,5.7,0.0277777777777779,-0.023333333333333206,0.002267573696144831,-0.01333333333333342,-0.04743589743589771,-0.06995884773662575,-0.10860484544695082,-0.09502923976608213,-0.04095626819728754,0.6777613277910869,2016-11-01,0.7030329124951948,,
2016-09-01,5.0,2016-10-01,4.8999999999999995,4.9,4.911111111111111,4.941666666666667,4.973333333333334,5.050000000000001,5.1190476190476195,5.191666666666667,4.998353174603175,0.7260083796800912,4.9,5.0,5.0,5.0,5.3,5.4,5.6,5.9,0.0,-0.019999999999999907,-0.01777777777777767,-0.011666666666666492,-0.06163522012578604,-0.06481481481481477,-0.0858843537414965,-0.12005649717514122,-0.047729416287710325,0.7018440963594009,2016-10-01,0.7139262380197461,,
2016-08-01,4.9,2016-09-01,4.866666666666666,4.8999999999999995,4.9111111111111105,4.941666666666666,4.993333333333333,5.072222222222222,5.147619047619047,5.229166666666667,5.007723214285714,0.7246288505757759,4.8,4.9,5.1,5.1,5.6,5.5,5.8,6.1,0.01388888888888884,0.0,-0.03703703703703709,-0.03104575163398693,-0.10833333333333328,-0.07777777777777783,-0.1124794745484401,-0.1427595628415299,-0.06194300603540204,0.7491296109797395,2016-09-01,0.7368792307777576,,
2016-07-01,4.8,2016-08-01,4.833333333333333,4.8999999999999995,4.933333333333334,4.958333333333333,5.04,5.105555555555556,5.190476190476191,5.279166666666667,5.0300248015873015,0.7206452835555331,5.0,4.9,5.0,5.2,5.4,5.7,5.7,6.2,-0.03333333333333344,0.0,-0.013333333333333308,-0.04647435897435903,-0.06666666666666676,-0.1042884990253411,-0.08939014202172091,-0.14852150537634412,-0.06275097984138733,0.7522509011816398,2016-08-01,0.7364480923685865,,
2016-06-01,4.9,2016-07-01,4.8999999999999995,4.916666666666667,4.955555555555556,4.991666666666667,5.08,5.155555555555556,5.233333333333333,5.3374999999999995,5.071284722222222,0.71269218739518,5.0,5.0,5.0,5.3,5.4,5.6,5.9,6.1,-0.02000000000000013,-0.016666666666666607,-0.008888888888888835,-0.05817610062893075,-0.059259259259259345,-0.0793650793650792,-0.11299435028248594,-0.125,-0.06004379313641385,0.7445057997745814,2016-07-01,0.7285989935848807,,
2016-05-01,4.8,2016-06-01,4.933333333333334,4.933333333333334,4.966666666666667,5.025,5.113333333333334,5.1944444444444455,5.280952380952382,5.3875,5.104320436507937,0.7063394887584566,4.9,5.1,5.1,5.6,5.5,5.8,6.1,6.3,0.006802721088435382,-0.03267973856209139,-0.02614379084967311,-0.10267857142857129,-0.0703030303030302,-0.104406130268199,-0.13427010148321605,-0.14484126984126977,-0.07606498895595193,0.793549453778591,2016-06-01,0.7499444712685238,,
2016-04-01,5.0,2016-05-01,4.966666666666667,4.983333333333333,5.0,5.091666666666667,5.16,5.25,5.342857142857143,5.45,5.155565476190477,0.6960013948293123,4.9,5.0,5.2,5.4,5.7,5.7,6.2,6.2,0.013605442176870763,-0.0033333333333332993,-0.03846153846153855,-0.0570987654320988,-0.09473684210526312,-0.07894736842105265,-0.13824884792626724,-0.12096774193548387,-0.06477362442977085,0.7608431755808545,2016-05-01,0.7284222852050835,,
2016-03-01,5.0,2016-04-01,4.933333333333334,4.983333333333333,5.022222222222222,5.125,5.206666666666667,5.288888888888889,5.4,5.5,5.182430555555555,0.6907139340008484,5.0,5.0,5.3,5.4,5.6,5.9,6.1,6.7,-0.013333333333333308,-0.0033333333333332993,-0.052410901467505266,-0.05092592592592604,-0.0702380952380951,-0.10357815442561213,-0.11475409836065564,-0.17910447761194037,-0.07345978996205015,0.787445150595609,2016-04-01,0.7390795422982287,,
2016-02-01,4.9,2016-03-01,4.933333333333334,4.983333333333333,5.055555555555555,5.158333333333333,5.246666666666667,5.3388888888888895,5.4523809523809526,5.570833333333333,5.217415674603175,0.6836065422935751,5.1,5.1,5.6,5.5,5.8,6.1,6.3,6.7,-0.03267973856209139,-0.02287581699346397,-0.09722222222222221,-0.06212121212121213,-0.09540229885057461,-0.1247723132969033,-0.13454270597127738,-0.16853233830845782,-0.09226858079077535,0.8382922537409426,2016-03-01,0.7609493980172588,,
2016-01-01,4.9,2016-02-01,5.0,5.016666666666667,5.133333333333334,5.208333333333333,5.306666666666667,5.405555555555555,5.519047619047619,5.645833333333332,5.279429563492062,0.670449951792247,5.0,5.2,5.4,5.7,5.7,6.2,6.2,6.6,0.0,-0.03525641025641035,-0.04938271604938271,-0.08625730994152059,-0.0690058479532164,-0.12813620071684595,-0.10983102918586796,-0.14457070707070718,-0.0778050276467439,0.8013575835338284,2016-02-01,0.7359037676630377,,
